Run,A* Time (s),Dijkstra Time (s),A* Path Length,Dijkstra Path Length
198,0.0,0.0009927749633789062,17,17
199,0.0,0.0,14,14
200,0.0,0.0010123252868652344,34,34
201,0.0,0.0,21,21
202,0.0,0.0009942054748535156,6,6
203,0.0,0.0,14,14
204,0.0,0.0,10,10
205,0.0,0.0,17,17
206,0.0009946823120117188,0.0,21,21
207,0.0,0.0,12,12
208,0.0010004043579101562,0.0,12,12
209,0.0,0.0,22,22
210,0.0,0.001012563705444336,26,26
211,0.0,0.0,18,18
212,0.0,0.0009932518005371094,19,19
213,0.0,0.0,6,6
214,0.0,0.0,19,19
215,0.00099945068359375,0.0,29,29
216,0.0,0.0009992122650146484,17,17
217,0.0,0.0,12,12
218,0.0,0.0,23,23
219,0.0,0.0,8,8
220,0.0,0.0,30,30
221,0.0009918212890625,0.0,25,25
222,0.0,0.0010182857513427734,25,25
223,0.0,0.0,10,10
224,0.0,0.000989675521850586,28,28
225,0.0,0.0,15,15
226,0.0,0.0009996891021728516,27,27
227,0.0,0.0,8,8
228,0.0,0.0,7,7
229,0.0,0.0009996891021728516,31,31
230,0.0,0.0,10,10
231,0.0,0.0,5,5
232,0.0,0.0,14,14
233,0.0,0.0010001659393310547,20,20
234,0.0,0.0,8,8
235,0.0,0.0,16,16
236,0.0,0.0009999275207519531,9,9
237,0.0,0.0,24,24
238,0.0,0.0010044574737548828,15,15
239,0.0,0.0,15,15
240,0.0,0.0,13,13
241,0.0,0.0,3,3
242,0.0,0.0,15,15
243,0.0,0.0,14,14
244,0.0,0.0011448860168457031,14,14
245,0.0,0.0,7,7
246,0.0,0.0,24,24
247,0.0,0.001012563705444336,12,12
248,0.0,0.0,4,4
249,0.0,0.0,21,21
250,0.0,0.0009958744049072266,16,16
251,0.0,0.0,13,13
252,0.0,0.0,12,12
253,0.0,0.00099945068359375,19,19
254,0.0,0.0,14,14
255,0.0,0.0,8,8
256,0.0009920597076416016,0.0,28,28
257,0.0,0.0,14,14
258,0.0,0.0010027885437011719,9,9
259,0.0,0.0,11,11
260,0.0,0.0,16,16
261,0.0,0.0,8,8
262,0.0,0.0,11,11
263,0.0,0.0,11,11
264,0.0,0.0,8,8
265,0.0,0.0,11,11
266,0.0009996891021728516,0.0,21,21
267,0.0,0.0009996891021728516,15,15
268,0.0,6.318092346191406e-05,5,5
269,0.0,0.0,24,24
270,0.0,0.0,8,8
